"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18, 2018","8,300,000","8,031,000","8,379,000","8,018,000","4.79K","3.35%"
"Jul 17, 2018","8,031,000","7,475,000","8,120,000","7,403,000","4.17K","7.44%"
"Jul 16, 2018","7,475,000","7,192,000","7,480,000","7,152,000","4.94K","3.93%"
"Jul 15, 2018","7,192,000","7,119,000","7,243,000","7,103,000","1.32K","1.03%"
"Jul 14, 2018","7,119,000","7,081,000","7,180,000","7,043,000","1.45K","0.62%"
"Jul 13, 2018","7,075,000","7,101,000","7,179,000","6,970,000","2.29K","-0.45%"
"Jul 12, 2018","7,107,000","7,236,000","7,236,000","6,950,000","2.24K","-1.78%"
"Jul 11, 2018","7,236,000","7,143,000","7,260,000","7,137,000","2.69K","1.27%"
"Jul 10, 2018","7,145,000","7,482,000","7,526,000","7,138,000","3.59K","-4.56%"
"Jul 09, 2018","7,486,000","7,484,000","7,610,000","7,455,000","3.35K","-0.11%"
"Jul 08, 2018","7,494,000","7,544,000","7,567,000","7,467,000","4.38K","-0.66%"
"Jul 07, 2018","7,544,000","7,480,000","7,616,000","7,350,000","5.30K","0.80%"
"Jul 06, 2018","7,484,000","7,281,000","7,500,000","7,242,000","5.15K","2.79%"
"Jul 05, 2018","7,281,000","7,268,000","7,381,000","7,189,000","4.23K","0.28%"
"Jul 04, 2018","7,261,000","7,197,000","7,419,000","7,048,000","4.66K","0.89%"
"Jul 03, 2018","7,197,000","7,252,000","7,345,000","7,152,000","6.09K","-0.77%"
"Jul 02, 2018","7,253,000","7,073,000","7,345,000","6,991,000","4.91K","2.53%"
"Jul 01, 2018","7,074,000","7,141,000","7,186,000","6,982,000","4.83K","-0.97%"
"Jun 30, 2018","7,143,000","6,950,000","7,260,000","6,942,000","3.37K","2.76%"
"Jun 29, 2018","6,951,000","6,656,000","7,080,000","6,584,000","3.43K","4.53%"
"Jun 28, 2018","6,650,000","6,927,000","6,966,000","6,632,000","2.76K","-3.94%"
"Jun 27, 2018","6,923,000","6,872,000","6,987,000","6,825,000","1.75K","0.74%"
"Jun 26, 2018","6,872,000","7,037,000","7,057,000","6,858,000","1.83K","-2.34%"
"Jun 25, 2018","7,037,000","6,978,000","7,120,000","6,870,000","2.60K","0.74%"
"Jun 24, 2018","6,985,000","7,014,000","7,119,000","6,603,000","3.57K","-0.41%"
"Jun 23, 2018","7,014,000","6,909,000","7,100,000","6,853,000","2.35K","1.52%"
"Jun 22, 2018","6,909,000","7,476,000","7,499,000","6,810,000","4.61K","-7.55%"
"Jun 21, 2018","7,473,000","7,469,000","7,519,000","7,389,000","1.58K","0.13%"
"Jun 20, 2018","7,463,000","7,504,000","7,512,000","7,074,000","5.04K","-0.55%"
"Jun 19, 2018","7,504,000","7,450,000","7,595,000","7,408,000","4.55K","0.74%"
"Jun 18, 2018","7,449,000","7,213,000","7,500,000","7,123,000","3.83K","3.26%"
"Jun 17, 2018","7,214,000","7,263,000","7,318,000","7,192,000","1.86K","-0.67%"
