"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 24, 2019","128.49","129.01","129.37","127.81","889.44K","-0.26%"
"Dec 23, 2019","128.83","127.85","129.38","127.60","2.44M","1.05%"
"Dec 20, 2019","127.49","128.00","129.16","126.44","5.10M","-0.45%"
"Dec 19, 2019","128.07","127.00","128.22","124.70","4.91M","1.09%"
"Dec 18, 2019","126.69","124.18","126.89","123.88","4.51M","2.30%"
"Dec 17, 2019","123.84","123.90","124.75","123.28","2.97M","0.53%"
"Dec 16, 2019","123.19","120.40","123.79","119.66","3.98M","3.40%"
"Dec 13, 2019","119.14","122.05","122.73","118.59","4.26M","-1.16%"
"Dec 12, 2019","120.54","117.45","121.44","117.01","4.29M","3.58%"
"Dec 11, 2019","116.37","115.00","116.96","114.74","1.73M","1.39%"
"Dec 10, 2019","114.78","115.67","116.23","114.66","2.00M","-0.24%"
"Dec 09, 2019","115.06","114.85","116.66","114.81","1.69M","-0.68%"
"Dec 06, 2019","115.85","117.07","117.89","115.10","2.85M","-0.77%"
"Dec 05, 2019","116.75","115.50","117.34","114.88","3.20M","2.22%"
"Dec 04, 2019","114.21","115.68","115.91","113.91","1.83M","-0.51%"
"Dec 03, 2019","114.80","115.20","116.02","113.30","3.49M","-2.25%"
"Dec 02, 2019","117.44","118.39","119.77","116.40","2.20M","-0.92%"
"Nov 29, 2019","118.53","118.30","118.69","117.60","1.92M","-0.82%"
"Nov 27, 2019","119.51","119.18","119.84","118.44","2.34M","0.77%"
"Nov 26, 2019","118.60","120.01","120.44","118.10","3.81M","-1.43%"
"Nov 25, 2019","120.32","119.35","121.30","118.68","3.19M","1.97%"
"Nov 22, 2019","117.99","116.12","118.66","115.62","3.01M","2.02%"
"Nov 21, 2019","115.65","114.20","116.28","113.94","2.80M","0.74%"
"Nov 20, 2019","114.80","114.50","116.91","113.40","3.13M","-0.77%"
"Nov 19, 2019","115.69","117.92","117.95","115.26","2.58M","-0.71%"
"Nov 18, 2019","116.52","117.31","117.59","115.70","2.48M","-0.45%"
"Nov 15, 2019","117.05","118.74","119.76","116.76","3.83M","-0.97%"
"Nov 14, 2019","118.20","118.00","118.48","116.33","4.78M","-0.08%"
"Nov 13, 2019","118.29","119.61","120.60","117.20","3.79M","-2.88%"
"Nov 12, 2019","121.80","120.17","123.48","120.17","3.55M","0.77%"
"Nov 11, 2019","120.87","122.69","122.69","120.26","4.10M","-2.96%"
"Nov 08, 2019","124.56","123.22","127.26","122.00","10.23M","2.21%"
"Nov 07, 2019","121.87","115.42","122.20","115.25","16.22M","13.52%"
"Nov 06, 2019","107.36","108.81","109.09","106.62","4.26M","-0.64%"
"Nov 05, 2019","108.05","110.90","111.00","106.86","6.20M","-1.43%"
"Nov 04, 2019","109.62","106.98","111.00","106.51","7.58M","4.76%"
"Nov 01, 2019","104.64","103.05","104.64","102.50","5.30M","2.74%"
"Oct 31, 2019","101.85","102.13","102.95","100.82","3.55M","-1.05%"
"Oct 30, 2019","102.93","102.85","103.09","101.27","2.44M","0.03%"
"Oct 29, 2019","102.90","104.47","104.55","102.63","3.59M","-1.87%"
"Oct 28, 2019","104.86","104.31","105.98","103.53","3.46M","0.95%"
"Oct 25, 2019","103.87","103.18","104.90","102.80","2.70M","0.17%"
"Oct 24, 2019","103.69","104.09","104.12","102.94","2.72M","-0.44%"
"Oct 23, 2019","104.15","102.66","104.40","102.51","1.41M","0.50%"
"Oct 22, 2019","103.63","104.00","104.57","102.75","1.69M","-0.70%"
"Oct 21, 2019","104.36","104.57","106.10","103.41","1.98M","0.60%"
"Oct 18, 2019","103.74","107.48","108.09","103.53","2.74M","-3.63%"
"Oct 17, 2019","107.65","108.86","109.23","106.62","2.07M","-0.58%"
"Oct 16, 2019","108.28","107.18","109.33","107.04","3.16M","1.01%"
"Oct 15, 2019","107.20","105.54","108.05","105.43","2.45M","1.65%"
"Oct 14, 2019","105.46","104.51","105.80","104.32","2.35M","0.76%"
"Oct 11, 2019","104.66","105.97","107.30","104.11","3.88M","0.78%"
"Oct 10, 2019","103.85","100.79","104.74","100.26","3.56M","3.95%"
"Oct 09, 2019","99.90","100.29","100.63","98.55","3.41M","0.37%"
"Oct 08, 2019","99.53","99.50","100.56","98.20","4.43M","-1.91%"
"Oct 07, 2019","101.47","103.79","103.99","101.17","3.40M","-2.87%"
"Oct 04, 2019","104.47","103.83","105.10","103.29","1.69M","0.14%"
"Oct 03, 2019","104.32","102.35","104.73","101.15","2.24M","1.66%"
"Oct 02, 2019","102.62","100.85","103.24","99.50","2.69M","0.61%"
"Oct 01, 2019","102.00","102.80","103.26","101.00","1.78M","-0.74%"
"Sep 30, 2019","102.76","102.25","103.45","101.44","2.15M","1.53%"
"Sep 27, 2019","101.21","105.49","106.30","100.30","5.69M","-3.67%"
"Sep 26, 2019","105.07","105.90","107.90","103.51","5.74M","2.21%"
"Sep 25, 2019","102.80","97.94","103.03","97.42","4.07M","5.32%"
"Sep 24, 2019","97.61","102.60","102.83","97.25","7.03M","-4.65%"
"Sep 23, 2019","102.37","104.49","104.94","102.30","3.51M","-2.65%"
"Sep 20, 2019","105.16","108.10","108.46","104.67","3.56M","-2.42%"
"Sep 19, 2019","107.77","108.56","109.26","107.62","1.95M","-0.58%"
"Sep 18, 2019","108.40","108.99","109.85","107.43","2.92M","-0.59%"
"Sep 17, 2019","109.04","110.02","110.32","108.07","2.80M","-1.75%"
"Sep 16, 2019","110.98","109.95","111.64","109.41","2.20M","0.40%"
"Sep 13, 2019","110.54","111.97","112.00","109.88","2.98M","-0.86%"
"Sep 12, 2019","111.50","112.95","113.07","110.52","4.08M","-0.26%"
"Sep 11, 2019","111.79","111.78","113.26","109.38","4.90M","1.26%"
"Sep 10, 2019","110.40","105.20","110.58","105.06","5.93M","5.08%"
"Sep 09, 2019","105.06","102.72","105.20","102.37","3.50M","2.41%"
"Sep 06, 2019","102.59","104.24","104.50","102.45","2.90M","-1.47%"
"Sep 05, 2019","104.12","103.59","105.11","103.29","3.35M","1.54%"
"Sep 04, 2019","102.54","104.13","104.55","102.04","2.17M","-0.02%"
"Sep 03, 2019","102.56","103.32","104.46","102.46","2.28M","-1.83%"
"Aug 30, 2019","104.47","105.46","105.46","103.73","2.44M","-0.34%"
